Count,City,Country,Date,latitude,longitude
1,Cuidad Juarez,Mexico,1976-12-08,31.690364,-106.424548
6,Dacca,Bangladesh,1973-12-18,23.810332,90.412518
19,Damascus,Syria,2008-09-27,33.513807,36.276528
1,Danli,Honduras,1980-07-22,14.041095,-86.570355
3,Darmstadt,Federal Republic of Germany,1992-08-24,49.872825,8.651193
11,Davao,Philippines,2008-03-24,7.190708,125.455341
41,Dhaka,Bangladesh,2007-01-22,23.810332,90.412518
2,Dimona,Israel,1981-06-07,31.069419,35.033363
15,Diyarbakir,Turkey,2006-09-12,37.924973,40.210983
7,Dortmund,Federal Republic of Germany,1996-07-23,51.513587,7.465298
6,Dubai,United Arab Emirates,1999-02-02,25.204849,55.270783
10,Dublin,Ireland,2003-05-06,53.349805,-6.26031
27,Durango,Spain,2009-07-10,43.171186,-2.631334
10,Dusseldorf,Federal Republic of Germany,1996-07-28,51.227741,6.773456
5,East Beirut,Lebanon,1988-06-02,33.893791,35.501777
5,Eilat,Israel,2007-01-29,29.557669,34.951925
1,Ein Yahav,Israel,1968-08-06,30.658757,35.239656
2,El Marques,Venezuela,1976-02-19,10.496408,-66.812665
2,Elat,Israel,1982-06-28,29.557669,34.951925
3,Elizabeth,United States,1980-10-03,40.663992,-74.210701
1,Entebbe,Uganda,1978-05-26,0.051184,32.463708
3,Envigado,Colombia,2003-11-24,6.169611,-75.587364
1,Erlangen,Federal Republic of Germany,1980-12-19,49.589674,11.011961
1,Eschborn,Federal Republic of Germany,1982-11-15,50.146747,8.561455
2,Essen,Federal Republic of Germany,1982-06-08,51.455643,7.011555
12,Florence,Italy,2004-03-01,43.76956,11.255814
2,Fort Lauderdale,United States,1977-05-25,26.122439,-80.137317
1,Fortaleza,Brazil,1969-06-11,-3.731862,-38.52667
55,Frankfurt,Federal Republic of Germany,1996-07-24,50.110922,8.682127
1,Fukuoko,Japan,1970-01-29,33.590355,130.401716
1,Galveston,United States,1968-06-01,29.301348,-94.797696
1,Gelnhausen,Federal Republic of Germany,1982-06-01,50.204566,9.186373
32,Geneva,Switzerland,1998-07-01,46.204391,6.143158
11,Genoa,Italy,2005-03-01,44.40565,8.946256
